Semester,Course,Credits,Grade
Spring 2022,ENG102,3,F
Spring 2022,ENG103,3,D
Spring 2022,ENG105,3,B+
Summer 2022,BEN205,3,B
Summer 2022,HIS101,3,D
Fall 2022,PHI101,3,B-
Fall 2022,POL101,3,C
Fall 2022,SOC101,3,F
Spring 2023,ENV107,3,F
Spring 2023,BUS112,3,W
Spring 2023,CHE101,3,C+
Spring 2023,ENV107L,1,C
Summer 2023,MAT112,3,B-
Summer 2023,BUS173,3,F
Fall 2023,BUS172,3,D
Fall 2023,BUS135,3,A-
Spring 2024,ECO101,3,C+
Spring 2024,MIS105,3,F
Spring 2024,ACT201,3,D
Summer 2024,ACT202,3,B+
Summer 2024,FIN254,3,C
Fall 2024,MKT202,3,C
Fall 2024,MGT210,3,C
Fall 2024,MGT314,3,B+
Fall 2024,BUS173,3,W
Spring 2025,MGT368,3,A-
Spring 2025,MGT489,3,W
Summer 2025,LAW200,3,F
Summer 2025,rvnrjvrjvbr,3,C
Fall 2025,MIS210,3,A
Fall 2025,MIS310,3,B+
Fall 2025,MIS320,3,F
Winter 2025,MIS470,3,A-
Winter 2025,MIS410,3,B
Winter 2025,CHE101L,1,A 
Winter 2025,PBH101L,1,A 
